empresa_id;conductor_id;tipo_conductor;cudn;detalle;cap_diseno;cap_termica;x_s0;x_s1;r_s0;r_s1;mat_conductor;tipo_proteccion;mat_aislante;separacion_fases;seccion_valor;seccion_unid
18;24574175;CableAéreoAluminioDesnudoBifás;CDACAL2A120000;Al 120mm2 2ø;282;239.7;1.611;0.344;3.206;0.269;Aluminio;Desnudo;Desnudo;2023 mm;120;mm2
18;186383760;CableAéreoAluminioDesnudoBifás;CDACAL2A240000;Al 240mm2 2ø;;;;;;;Aluminio;Desnudo;Desnudo;2023 mm;240;mm2
18;24564512;CableAéreoAluminioDesnudoBifás;CDACAL2C024000;COND DESN AER 23KV CABLE. AAAC. 2F 024 MM2 ALTON;122;103.7;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;2023 mm;24;mm2
18;186376425;CableAéreoAluminioDesnudoBifás;CDACAL2C033000;COND DESN AER 15KV CABLE. AAAC. 2F 033 MM2;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;24554508;CableAéreoAluminioDesnudoBifás;CDACAL2C033000;COND DESN AER 23KV CABLE. AAAC. 2F 033 MM2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;24557556;CableAéreoAluminioDesnudoBifás;CDACAL2C033000;Al 33.63 AAAC 2ø;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;2023 mm;33;mm2
18;186375975;CableAéreoAluminioDesnudoBifás;CDACAL2C035000;Al 35mm2 2ø;;;1.65;0.383;5.848;0.922;Aluminio;Desnudo;Desnudo;2023 mm;35;mm2
18;186375971;CableAéreoAluminioDesnudoBifás;CDACAL2C050000;Al 50mm2 2ø;;;1.639;0.372;4.907;0.646;Aluminio;Desnudo;Desnudo;2023 mm;50;mm2
18;186383765;CableAéreoAluminioDesnudoBifás;CDACAL2C053000;COND DESN AER 23KV CABLE. AAAC. 2F 053 MM2;;;;;;;Aluminio;Desnudo;Desnudo;2023 mm;53;mm2
18;24562260;CableAéreoAluminioDesnudoBifás;CDACAL2C054000;Al 1/0 AAAC 2ø;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;2023 mm;54;mm2
18;186383636;CableAéreoAluminioDesnudoBifás;CDACAL2C054000;Al 1/0 AAAC 2ø;;;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;2023 mm;54;mm2
18;186376810;CableAéreoAluminioDesnudoBifás;CDACAL2C107000;COND DESN AER 23KV CABLE. AAAC. 2F 107 MM2;;;1.624;0.336;0.466;0.318;Aluminio;Desnudo;Desnudo;2023 mm;107;mm2
18;186375961;CableAéreoAluminioDesnudoBifás;CDACAL2C120000;Al 120mm2 2ø;;;1.611;0.344;3.206;0.269;Aluminio;Desnudo;Desnudo;2023 mm;120;mm2
18;186376439;CableAéreoAluminioDesnudoTrifá;CDACAL3A024000;COND DESN AER 15KV CABLE. AAAC. 3F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;1011 mm;24;mm2
18;186377057;CableAéreoAluminioDesnudoTrifá;CDACAL3A024000;COND DESN AER 23KV CABLE. AAAC. 3F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;1011 mm;24;mm2
18;24562157;CableAéreoAluminioDesnudoTrifá;CDACAL3A025000;Al 25mm2 3ø;103;87.55;1.661;0.393;6.904;1.291;Aluminio;Desnudo;Desnudo;1011 mm;25;mm2
18;186376443;CableAéreoAluminioDesnudoTrifá;CDACAL3A026000;COND DESN AER 15KV CABLE. AAAC. 3F 026 MM2;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;1011 mm;26;mm2
18;186377080;CableAéreoAluminioDesnudoTrifá;CDACAL3A026000;COND DESN AER 23KV CABLE. AAAC. 3F 024 MM2 ALTON;;;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;1011 mm;26;mm2
18;24562809;CableAéreoAluminioDesnudoTrifá;CDACAL3A026000;COND DESN AER 15KV CABLE. AAAC. 3F 024 MM2 ALTON;122;103.7;1.744;0.456;1.51;1.362;Aluminio;Desnudo;Desnudo;1011 mm;26;mm2
18;186377224;CableAéreoAluminioDesnudoTrifá;CDACAL3A026000;COND DESN AER 23KV CABLE. AAAC. 3F 033 MM2;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;26;mm2
18;24556436;CableAéreoAluminioDesnudoTrifá;CDACAL3A033000;COND DESN AER 15KV CABLE. AAAC. 3F 033 MM2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;33;mm2
18;24556333;CableAéreoAluminioDesnudoTrifá;CDACAL3A033000;Al 33.59 AAAC 3ø;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;33;mm2
18;186377094;CableAéreoAluminioDesnudoTrifá;CDACAL3A033000;COND DESN AER 23KV CABLE. AAAC. 3F 033 MM2;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;33;mm2
18;24556807;CableAéreoAluminioDesnudoTrifá;CDACAL3A033000;Cable Desnudo AAAC 3x33mm2;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;33;mm2
18;24554335;CableAéreoAluminioDesnudoTrifá;CDACAL3A034000;Al 2 AAAC 3ø;122;103.7;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;34;mm2
18;24575708;CableAéreoAluminioDesnudoTrifá;CDACAL3A034000;CAl 2 AAAC 3ø;;;;;;;Aluminio;Desnudo;Desnudo;1011 mm;34;mm2
18;131929936;CableAéreoAluminioDesnudoTrifá;CDACAL3A034000;CAl 2 AAAC 3ø;;;;;;;Aluminio;Desnudo;Desnudo;1011 mm;34;mm2
18;186376393;CableAéreoAluminioDesnudoTrifá;CDACAL3A034000;Al 2 AAAC 3ø usado;;;1.66;0.372;1.173;1.025;Aluminio;Desnudo;Desnudo;1011 mm;34;mm2
18;24563571;CableAéreoAluminioDesnudoTrifá;CDACAL3A050000;Al 50mm2 3ø;160;136;1.639;0.372;4.907;0.646;Aluminio;Desnudo;Desnudo;1011 mm;50;mm2
18;186377238;CableAéreoAluminioDesnudoTrifá;CDACAL3A053000;COND DESN AER 23KV CABLE. AAAC. 3F 053 MM2;;;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;53;mm2
18;24554377;CableAéreoAluminioDesnudoTrifá;CDACAL3A053000;Cable Desnudo AAAC 3x53mm2;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;53;mm2
18;24564960;CableAéreoAluminioDesnudoTrifá;CDACAL3A053000;COND DESN AER 15KV CABLE. AAAC. 3F 053 MM2;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;53;mm2
18;186383848;CableAéreoAluminioDesnudoTrifá;CDACAL3A054000;Al 1/0 AAAC 3ø;;;;;;;Aluminio;Desnudo;Desnudo;1011 mm;54;mm2
18;24562892;CableAéreoAluminioDesnudoTrifá;CDACAL3A054000;CAl 1/0 AAAC 3ø;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;54;mm2
18;24560319;CableAéreoAluminioDesnudoTrifá;CDACAL3A054000;Al 1/0 AAAC 3ø;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;54;mm2
18;24558943;CableAéreoAluminioDesnudoTrifá;CDACAL3A054000;Al 1/0 AAAC 3ø;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;54;mm2
18;24561434;CableAéreoAluminioDesnudoTrifá;CDACAL3A054000;Al 1/0 AAAC 3ø OLD;161;136.85;1.645;0.358;0.785;0.637;Aluminio;Desnudo;Desnudo;1011 mm;54;mm2
18;186380026;CableAéreoAluminioDesnudoTrifá;CDACAL3A063000;COND DESN AER 23KV CABLE. AAAC. 3F 063 MM2 AZUSA;;;1.716;0.427;0.685;0.537;Aluminio;Desnudo;Desnudo;1011 mm;63;mm2
18;186376467;CableAéreoAluminioDesnudoTrifá;CDACAL3A063000;COND DESN AER 15KV CABLE. AAAC. 3F 063 MM2 AZUSA;;;1.716;0.427;0.685;0.537;Aluminio;Desnudo;Desnudo;1011 mm;63;mm2
18;24555123;CableAéreoAluminioDesnudoTrifá;CDACAL3A070000;Al 70mm2 3ø;199;169.15;1.628;0.361;4.163;0.461;Aluminio;Desnudo;Desnudo;1011 mm;70;mm2
18;24553992;CableAéreoAluminioDesnudoTrifá;CDACAL3A085000;Al 3/0 AAAC 3ø;226;192.1;1.622;0.355;3.788;0.38;Aluminio;Desnudo;Desnudo;1011 mm;85;mm2
18;24562367;CableAéreoAluminioDesnudoTrifá;CDACAL3A085000;CAl 3/0 AAAC 3ø;226;192.1;1.622;0.355;3.788;0.38;Aluminio;Desnudo;Desnudo;1011 mm;85;mm2
18;24563513;CableAéreoAluminioDesnudoTrifá;CDACAL3A085000;Cable Alum 3/0 3Ø (85mm2);226;192.1;1.622;0.355;3.788;0.38;Aluminio;Desnudo;Desnudo;1011 mm;85;mm2
18;186383715;CableAéreoAluminioDesnudoTrifá;CDACAL3A085000;Al 3/0 AAAC 3ø USADO;;;;;;;Aluminio;Desnudo;Desnudo;1011 mm;85;mm2
18;186384135;CableAéreoAluminioDesnudoTrifá;CDACAL3A107000;COND DESN AER 23KV CABLE. AAAC. 3F 107 MM2;;;1.624;0.336;0.466;0.318;Aluminio;Desnudo;Desnudo;1011 mm;107;mm2
18;24556280;CableAéreoAluminioDesnudoTrifá;CDACAL3A107000;Cable Desnudo AAAC 3x107mm2;255;216.75;1.624;0.336;0.466;0.318;Aluminio;Desnudo;Desnudo;1011 mm;107;mm2
18;186376469;CableAéreoAluminioDesnudoTrifá;CDACAL3A107000;COND DESN AER 15KV CABLE. AAAC. 3F 107 MM2;;;1.624;0.336;0.466;0.318;Aluminio;Desnudo;Desnudo;1011 mm;107;mm2
18;24574045;CableAéreoAluminioDesnudoTrifá;CDACAL3A107000;COND DESN AER 15KV CABLE. AAAC. 3F 063 MM2 AZUSA;230;195.5;1.716;0.427;0.685;0.537;Aluminio;Desnudo;Desnudo;1011 mm;107;mm2
18;24564915;CableAéreoAluminioDesnudoTrifá;CDACAL3A107000;COND DESN AER 15KV CABLE. AAAC. 3F 063 MM2 AZUSA;230;195.5;1.716;0.427;0.685;0.537;Aluminio;Desnudo;Desnudo;1011 mm;107;mm2
18;24562609;CableAéreoAluminioDesnudoTrifá;CDACAL3A120000;Al 120mm2 3ø;282;239.7;1.611;0.344;3.206;0.269;Aluminio;Desnudo;Desnudo;1011 mm;120;mm2
18;24557354;CableAéreoAluminioDesnudoTrifá;CDACAL3A120000;Al 120mm2 3ø;282;239.7;1.611;0.344;3.206;0.269;Aluminio;Desnudo;Desnudo;1011 mm;120;mm2
