empresa_id,toma_tierra_id,elemento_id,tipo_elemento,propiedad,nodo_id,cudn,tipo_toma_tierra,tipo_electrodo,otros,datum,zona,x,y,lat,long
18,5282204,5282203,transformador_dx,Inst. de distribució,37898861,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187591.517,5702955.410,-38.76945230,-72.59791080
18,5282330,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187490.472,5702960.323,-38.76937230,-72.59906940
18,5282334,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187600.935,5703053.933,-38.76856960,-72.59775800
18,5282340,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187561.850,5703141.194,-38.76777100,-72.59816760
18,5282343,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187602.571,5703158.334,-38.76763120,-72.59769200
18,5336718,,otro,Inst. de prop. terce,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186172.755,5701097.559,-38.78565720,-72.61505370
18,5472792,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185549.768,5699790.318,-38.79719160,-72.62280780
18,5472798,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185433.349,5699888.016,-38.79627150,-72.62410120
18,5472856,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185246.095,5699882.966,-38.79625010,-72.62625540
18,5473031,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185003.337,5699731.548,-38.79752510,-72.62911430
18,5476813,9463788,equipo,Inst. de distribució,38428851,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185574.077,5696626.914,-38.82564960,-72.62397150
18,5506705,1717044885,equipo,Inst. de distribució,38585341,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185568.831,5695932.049,-38.83189680,-72.62434900
18,5506839,9596047,equipo,Inst. de distribució,40801567,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185632.826,5695728.676,-38.83374860,-72.62370610
18,5508929,421232,equipo,Inst. de distribució,38295536,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185951.082,5694670.777,-38.84337620,-72.62052940
18,5509155,416920,equipo,Inst. de distribució,40062626,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186097.655,5694628.999,-38.84380420,-72.61886290
18,5509160,1982519,equipo,Inst. de distribució,40070350,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186171.952,5694606.076,-38.84403680,-72.61801900
18,5509170,1981968,equipo,Inst. de distribució,40078610,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186158.090,5694652.856,-38.84361120,-72.61815710
18,5641886,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186331.825,5701410.830,-38.78289640,-72.61308360
18,5641887,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186331.825,5701410.830,-38.78289640,-72.61308360
18,5641939,,otro,Inst. de distribució,,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186401.649,5701543.142,-38.78173130,-72.61222120
18,5641955,5642043,equipo,Inst. de distribució,38257336,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186486.496,5701731.859,-38.78006430,-72.61116060
18,5641958,5642041,equipo,Inst. de distribució,39973248,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186469.333,5701691.443,-38.78042160,-72.61137620
18,5641959,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186542.771,5701825.498,-38.77924210,-72.61047150
18,5642054,449707,transformador_dx,Inst. de distribució,40003477,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186416.707,5701581.106,-38.78139530,-72.61203100
18,5658471,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185302.909,5695913.874,-38.83196520,-72.62741480
18,5658485,1716558911,transformador_dx,Inst. de distribució,38905437,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185347.265,5695905.937,-38.83205250,-72.62690850
18,5661454,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186909.997,5696721.977,-38.82527070,-72.60856940
18,5661455,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187009.031,5696519.047,-38.82713090,-72.60752310
18,5661473,9028721,transformador_dx,Inst. de distribució,39294810,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,187048.483,5696502.739,-38.82729160,-72.60707690
18,5683849,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,187017.808,5696227.866,-38.82975270,-72.60755450
18,5683850,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186872.009,5696175.351,-38.83017320,-72.60925470
18,5685464,5685474,equipo,Inst. de distribució,38801704,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186802.773,5696194.854,-38.82997320,-72.61004190
18,5685618,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186762.869,5701861.670,-38.77899500,-72.60792630
18,5685639,5685631,transformador_dx,Inst. de distribució,38455757,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,186740.919,5701816.968,-38.77938930,-72.60819880
18,5774074,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186081.444,5695140.174,-38.83920130,-72.61881620
18,5774075,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185998.710,5695275.399,-38.83795560,-72.61970590
18,5920375,5920294,equipo,Inst. de distribució,39912926,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,183094.706,5697054.551,-38.82091510,-72.65227870
18,5971014,9325881,transformador_dx,Inst. de distribució,39033151,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185620.445,5696898.277,-38.82322570,-72.62331450
18,5971015,448790,transformador_dx,Inst. de distribució,38978542,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185620.374,5696852.052,-38.82364140,-72.62333650
18,5971166,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185620.855,5696949.783,-38.82276270,-72.62328630
18,5971174,448335,transformador_dx,Inst. de distribució,40134017,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185620.605,5696998.394,-38.82232540,-72.62326700
18,5971219,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185668.918,5697667.596,-38.81632440,-72.62240630
18,5971339,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185668.343,5697830.616,-38.81485810,-72.62233860
18,5971812,446068,transformador_dx,Inst. de distribució,39425966,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185620.664,5697044.099,-38.82191440,-72.62324550
18,6029931,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,186539.543,5695013.224,-38.84050620,-72.61360630
18,6245990,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,184953.797,5695812.254,-38.83275420,-72.63147530
18,6259431,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185511.672,5698589.422,-38.80797800,-72.62379330
18,6259466,2158961,transformador_dx,Inst. de distribució,35904737,KC24A,Puesta a tierra de p,Conductor Cobre,,PSAD56,19,185560.539,5698457.071,-38.80918570,-72.62329200
18,6259503,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185569.445,5698433.711,-38.80939900,-72.62320030
18,6259516,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185648.563,5698214.003,-38.81140310,-72.62239110
18,6259534,,otro,Inst. de distribució,,KB24A,Puesta a tierra de s,Conductor Cobre,,PSAD56,19,185662.641,5698093.640,-38.81249060,-72.62228420
