empresa_id,estructura_id,propiedad,elemento_id,tipo_elemento,cudn,clase_tension,detalle cudn,datum,zona,x,y,lat,long
18,5282361,Inst. de distribució,44754,nodo,ICB1AN,BT,,PSAD56,19,187766.412,5703067.387,-38.76850710,-72.59585100
18,5282365,Inst. de distribució,777106,nodo,ICB1AN,BT,,PSAD56,19,187709.388,5702998.646,-38.76910520,-72.59653710
18,5282368,Inst. de distribució,789774,nodo,ICB1AN,BT,,PSAD56,19,187622.031,5703162.333,-38.76760210,-72.59746670
18,5282371,Inst. de distribució,734391,nodo,ICB1AN,BT,,PSAD56,19,187782.136,5703261.938,-38.76676300,-72.59558240
18,5282391,Inst. de distribució,790583,nodo,ICB1AN,BT,,PSAD56,19,187771.636,5703157.326,-38.76770010,-72.59575030
18,5526612,Inst. de distribució,5523764,nodo,ICB1AN,BT,,PSAD56,19,188220.035,5702357.719,-38.77505010,-72.59096010
18,5526659,Inst. de distribució,5523748,nodo,ICB1AN,BT,,PSAD56,19,188259.620,5702370.618,-38.77494800,-72.59049950
18,5668512,Inst. de distribució,698965,nodo,ICB1AN,BT,,PSAD56,19,187074.849,5698649.624,-38.80799320,-72.60579880
18,5670317,Inst. de distribució,663434,nodo,ICB1AN,BT,,PSAD56,19,187012.015,5698633.398,-38.80811680,-72.60652840
18,5672107,Inst. de distribució,750725,nodo,ICB1AN,BT,,PSAD56,19,186885.528,5698612.765,-38.80825740,-72.60799160
18,5677493,Inst. de distribució,784709,nodo,ICB1AN,BT,,PSAD56,19,187121.757,5698658.696,-38.80792820,-72.60525550
18,5689164,Inst. de distribució,5689161,nodo,ICB1AN,BT,,PSAD56,19,188614.906,5701656.836,-38.78149300,-72.58673960
18,5721154,Inst. de distribució,5718407,nodo,ICB1AN,BT,,PSAD56,19,188318.819,5702320.626,-38.77541860,-72.58984200
18,5721201,Inst. de distribució,5718395,nodo,ICB1AN,BT,,PSAD56,19,188344.997,5702427.050,-38.77447070,-72.58949320
18,5721206,Inst. de distribució,5718393,nodo,ICB1AN,BT,,PSAD56,19,188303.586,5702414.390,-38.77456990,-72.58997470
18,2167529,Inst. de distribució,2167518,nodo,ICB1AN,BT,,PSAD56,19,187641.821,5703744.648,-38.76237210,-72.59697600
18,2247463,Inst. de distribució,78889,nodo,ICB1AN,BT,,PSAD56,19,187084.476,5703712.081,-38.76246750,-72.60339290
18,2247464,Inst. de distribució,720278,nodo,ICB1AN,BT,,PSAD56,19,187089.073,5703738.421,-38.76223220,-72.60332820
18,1158216,Inst. de distribució,732896,nodo,ICB1AN,BT,,PSAD56,19,189060.639,5699471.032,-38.80130870,-72.58260310
18,1168608,Inst. de distribució,803769,nodo,ICB1AN,BT,,PSAD56,19,187714.328,5703524.503,-38.76437760,-72.59624270
18,1174376,Inst. de distribució,672952,nodo,ICB1AN,BT,,PSAD56,19,187022.912,5703688.131,-38.76266110,-72.60411090
18,1184228,Inst. de distribució,716494,nodo,ICB1AN,BT,,PSAD56,19,187503.963,5703417.356,-38.76526680,-72.59870760
18,1184758,Inst. de distribució,664527,nodo,ICB1AN,BT,,PSAD56,19,187380.284,5704102.915,-38.75905740,-72.59981820
18,1185498,Inst. de distribució,734297,nodo,ICB1AN,BT,,PSAD56,19,187533.105,5703453.297,-38.76495380,-72.59835660
18,1197243,Inst. de distribució,764243,nodo,ICB1AN,BT,,PSAD56,19,186565.646,5700224.232,-38.79365110,-72.61093600
18,1200640,Inst. de distribució,1716832082,nodo,ICB1AN,BT,,PSAD56,19,187697.494,5703127.915,-38.76793840,-72.59661530
18,1200858,Inst. de distribució,781814,nodo,ICB1AN,BT,,PSAD56,19,187663.480,5703755.656,-38.76228070,-72.59672230
18,1986069,Inst. de distribució,1983685,nodo,ICB1AN,BT,,PSAD56,19,187625.568,5702436.739,-38.77412910,-72.59775420
18,1986107,Inst. de distribució,1983684,nodo,ICB1AN,BT,,PSAD56,19,187617.070,5702449.242,-38.77401360,-72.59784620
18,1986130,Inst. de distribució,1981341,nodo,ICB1AN,BT,,PSAD56,19,187659.073,5702391.823,-38.77454490,-72.59738960
18,1986138,Inst. de distribució,5681009,nodo,ICB1AN,BT,,PSAD56,19,187627.874,5702388.060,-38.77456770,-72.59774970
18,1986205,Inst. de distribució,1983727,nodo,ICB1AN,BT,,PSAD56,19,187689.786,5702395.707,-38.77452080,-72.59703500
18,1986262,Inst. de distribució,1983784,nodo,ICB1AN,BT,,PSAD56,19,187672.266,5702361.832,-38.77481930,-72.59725160
18,1986263,Inst. de distribució,1983782,nodo,ICB1AN,BT,,PSAD56,19,187650.263,5702349.464,-38.77492270,-72.59751000
18,1986264,Inst. de distribució,1983781,nodo,ICB1AN,BT,,PSAD56,19,187621.644,5702344.287,-38.77495920,-72.59784110
18,1986276,Inst. de distribució,1983746,nodo,ICB1AN,BT,,PSAD56,19,187608.557,5702351.046,-38.77489370,-72.59798840
18,1986408,Inst. de distribució,1986297,nodo,ICB1AN,BT,,PSAD56,19,187614.752,5702288.491,-38.77545850,-72.59794550
18,1986458,Inst. de distribució,1986314,nodo,ICB1AN,BT,,PSAD56,19,187671.431,5702255.055,-38.77577930,-72.59730950
18,1986472,Inst. de distribució,1986312,nodo,ICB1AN,BT,,PSAD56,19,187666.182,5702248.058,-38.77584040,-72.59737290
18,1986476,Inst. de distribució,1986321,nodo,ICB1AN,BT,,PSAD56,19,187664.637,5702295.642,-38.77541190,-72.59736920
18,1986477,Inst. de distribució,1986320,nodo,ICB1AN,BT,,PSAD56,19,187630.486,5702290.815,-38.77544320,-72.59776370
18,2021415,Inst. de distribució,24713,nodo,ICB1AN,BT,,PSAD56,19,187561.674,5702007.077,-38.77797060,-72.59868270
18,2034968,Inst. de distribució,1716862690,nodo,ICB1AN,BT,,PSAD56,19,187342.755,5701129.474,-38.78578580,-72.60159540
18,2034969,Inst. de distribució,1716862715,nodo,ICB1AN,BT,,PSAD56,19,187349.035,5701186.040,-38.78527930,-72.60149760
18,2034989,Inst. de distribució,2034980,nodo,ICB1AN,BT,,PSAD56,19,187335.793,5701187.014,-38.78526580,-72.60164930
18,2038340,Inst. de distribució,738069,nodo,ICB1AN,BT,,PSAD56,19,187112.546,5703882.584,-38.76094400,-72.60299330
18,2052145,Inst. de distribució,2052095,nodo,ICB1AN,BT,,PSAD56,19,186213.735,5697412.641,-38.81881150,-72.61625960
18,2052163,Inst. de distribució,2052079,nodo,ICB1AN,BT,,PSAD56,19,186347.781,5697456.149,-38.81846800,-72.61469880
18,1069657,Inst. de distribució,682614,nodo,ICB1AN,BT,,PSAD56,19,187703.021,5703109.422,-38.76810670,-72.59656020
18,1069904,Inst. de distribució,653296,nodo,ICB1AN,BT,,PSAD56,19,186646.160,5700362.842,-38.79243320,-72.60994780
18,1070709,Inst. de distribució,711446,nodo,ICB1AN,BT,,PSAD56,19,188674.212,5701717.531,-38.78096810,-72.58603080
18,1076583,Inst. de distribució,24673,nodo,ICB1AN,BT,,PSAD56,19,188345.636,5699555.828,-38.80029360,-72.59078250
18,1077412,Inst. de distribució,92323,nodo,ICB1AN,BT,,PSAD56,19,186626.512,5698129.977,-38.81250720,-72.61118820
18,1077970,Inst. de distribució,1716835296,nodo,ICB1AN,BT,,PSAD56,19,188896.505,5699278.714,-38.80298050,-72.58457630
18,1081889,Inst. de distribució,1716849374,nodo,ICB1AN,BT,,PSAD56,19,188643.235,5701719.703,-38.78093760,-72.58638570
18,1084969,Inst. de distribució,737442,nodo,ICB1AN,BT,,PSAD56,19,186595.037,5698487.801,-38.80927800,-72.61138730
18,1086179,Inst. de distribució,51107,nodo,ICB1AN,BT,,PSAD56,19,187409.118,5697974.778,-38.81418100,-72.60226270
18,1098987,Inst. de distribució,8456120,nodo,ICB1AN,BT,,PSAD56,19,187697.815,5701261.485,-38.78472440,-72.59745580
18,1099776,Inst. de distribució,1716495944,nodo,ICB1AN,BT,,PSAD56,19,187569.617,5702008.513,-38.77796050,-72.59859080
18,1100020,Inst. de distribució,661839,nodo,ICB1AN,BT,,PSAD56,19,187656.717,5701294.607,-38.78441190,-72.59791310
18,1100055,Inst. de distribució,765625,nodo,ICB1AN,BT,,PSAD56,19,186362.754,5697468.035,-38.81836640,-72.61452130
