empresa_id,cudn,caracter_item_ini,caracter_item_fin,desc_item,valor_opcion,desc_opcion
18,BAAC09520,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC09520,5,9,Volumen,09520,En dm3
18,BAAC10000,1,1,ítem,B,CÁMARAS
18,BAAC10000,2,2,TENSIÓN,A,AT
18,BAAC10000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC10000,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC10000,5,9,Volumen,10000,En dm3
18,BAAC10080,1,1,ítem,B,CÁMARAS
18,BAAC10080,2,2,TENSIÓN,A,AT
18,BAAC10080,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC10080,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC10080,5,9,Volumen,10080,En dm3
18,BAAC10920,1,1,ítem,B,CÁMARAS
18,BAAC10920,2,2,TENSIÓN,A,AT
18,BAAC10920,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC10920,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC10920,5,9,Volumen,10920,En dm3
18,BAAC11016,1,1,ítem,B,CÁMARAS
18,BAAC11016,2,2,TENSIÓN,A,AT
18,BAAC11016,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC11016,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC11016,5,9,Volumen,11016,En dm3
18,BAAC11500,1,1,ítem,B,CÁMARAS
18,BAAC11500,2,2,TENSIÓN,A,AT
18,BAAC11500,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC11500,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC11500,5,9,Volumen,11500,En dm3
18,BAAC15200,1,1,ítem,B,CÁMARAS
18,BAAC15200,2,2,TENSIÓN,A,AT
18,BAAC15200,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC15200,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC15200,5,9,Volumen,15200,En dm3
18,BAAC35100,1,1,ítem,B,CÁMARAS
18,BAAC35100,2,2,TENSIÓN,A,AT
18,BAAC35100,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC35100,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC35100,5,9,Volumen,35100,En dm3
18,BAAC49140,1,1,ítem,B,CÁMARAS
18,BAAC49140,2,2,TENSIÓN,A,AT
18,BAAC49140,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC49140,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC49140,5,9,Volumen,49140,En dm3
18,BAAC63180,1,1,ítem,B,CÁMARAS
18,BAAC63180,2,2,TENSIÓN,A,AT
18,BAAC63180,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAC63180,4,4,UBICACIÓN,C,Calzada Hormigón
18,BAAC63180,5,9,Volumen,63180,En dm3
18,BAAD00288,1,1,ítem,B,CÁMARAS
18,BAAD00288,2,2,TENSIÓN,A,AT
18,BAAD00288,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD00288,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD00288,5,9,Volumen,00288,En dm3
18,BAAD00832,1,1,ítem,B,CÁMARAS
18,BAAD00832,2,2,TENSIÓN,A,AT
18,BAAD00832,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD00832,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD00832,5,9,Volumen,00832,En dm3
18,BAAD01000,1,1,ítem,B,CÁMARAS
18,BAAD01000,2,2,TENSIÓN,A,AT
18,BAAD01000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD01000,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD01000,5,9,Volumen,01000,En dm3
18,BAAD01500,1,1,ítem,B,CÁMARAS
18,BAAD01500,2,2,TENSIÓN,A,AT
18,BAAD01500,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD01500,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD01500,5,9,Volumen,01500,En dm3
18,BAAD01778,1,1,ítem,B,CÁMARAS
18,BAAD01778,2,2,TENSIÓN,A,AT
18,BAAD01778,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD01778,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD01778,5,9,Volumen,01778,En dm3
18,BAAD02000,1,1,ítem,B,CÁMARAS
18,BAAD02000,2,2,TENSIÓN,A,AT
18,BAAD02000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD02000,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD02000,5,9,Volumen,02000,En dm3
18,BAAD04050,1,1,ítem,B,CÁMARAS
18,BAAD04050,2,2,TENSIÓN,A,AT
18,BAAD04050,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD04050,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD04050,5,9,Volumen,04050,En dm3
18,BAAD07425,1,1,ítem,B,CÁMARAS
18,BAAD07425,2,2,TENSIÓN,A,AT
18,BAAD07425,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD07425,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD07425,5,9,Volumen,07425,En dm3
18,BAAD08000,1,1,ítem,B,CÁMARAS
18,BAAD08000,2,2,TENSIÓN,A,AT
18,BAAD08000,3,3,MATERIAL,A,Albañilería - Ladril
18,BAAD08000,4,4,UBICACIÓN,D,Calzada Tierra
18,BAAD08000,5,9,Volumen,08000,En dm3
18,BAAD09000,1,1,ítem,B,CÁMARAS
