empresa_id,cudn,descripcion
18,BAAV03276,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 327 dm3
18,BAAV03300,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 330 dm3
18,BAAV03328,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 332 dm3
18,BAAV03360,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 336 dm3
18,BAAV03375,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 337 dm3
18,BAAV03380,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 338 dm3
18,BAAV03432,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 343 dm3
18,BAAV03456,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 345 dm3
18,BAAV03520,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 352 dm3
18,BAAV03549,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 354 dm3
18,BAAV03564,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 356 dm3
18,BAAV03584,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 358 dm3
18,BAAV03588,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 358 dm3
18,BAAV03600,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 360 dm3
18,BAAV03696,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 369 dm3
18,BAAV03757,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 375 dm3
18,BAAV03780,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 378 dm3
18,BAAV03840,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 384 dm3
18,BAAV03864,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 386 dm3
18,BAAV03876,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 387 dm3
18,BAAV03887,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 388 dm3
18,BAAV03888,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 388 dm3
18,BAAV03900,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 390 dm3
18,BAAV03952,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 395 dm3
18,BAAV03960,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 396 dm3
18,BAAV03978,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 397 dm3
18,BAAV04032,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 403 dm3
18,BAAV04050,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 405 dm3
18,BAAV04056,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 405 dm3
18,BAAV04096,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 409 dm3
18,BAAV04200,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 420 dm3
18,BAAV04312,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 431 dm3
18,BAAV04332,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 433 dm3
18,BAAV04368,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 436 dm3
18,BAAV04410,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 441 dm3
18,BAAV04480,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 448 dm3
18,BAAV04500,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 450 dm3
18,BAAV04590,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 459 dm3
18,BAAV04608,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 460 dm3
18,BAAV04752,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 475 dm3
18,BAAV04760,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 476 dm3
18,BAAV04800,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 480 dm3
18,BAAV04860,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 486 dm3
18,BAAV04900,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 490 dm3
18,BAAV04928,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 492 dm3
18,BAAV05000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 500 dm3
18,BAAV05040,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 504 dm3
18,BAAV05124,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 512 dm3
18,BAAV05152,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 515 dm3
18,BAAV05250,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 525 dm3
18,BAAV05280,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 528 dm3
18,BAAV05376,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 537 dm3
18,BAAV05390,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 539 dm3
18,BAAV05472,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 547 dm3
18,BAAV05488,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 548 dm3
18,BAAV05600,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 560 dm3
18,BAAV05880,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 588 dm3
18,BAAV05950,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 595 dm3
18,BAAV06160,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 616 dm3
18,BAAV06240,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 624 dm3
18,BAAV06300,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 630 dm3
18,BAAV06375,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 637 dm3
18,BAAV06400,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 640 dm3
18,BAAV06800,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 680 dm3
18,BAAV06825,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 682 dm3
18,BAAV07000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 700 dm3
18,BAAV07200,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 720 dm3
18,BAAV07344,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 734 dm3
18,BAAV07581,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 758 dm3
18,BAAV07700,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 770 dm3
18,BAAV07744,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 774 dm3
18,BAAV08000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 800 dm3
18,BAAV08190,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 819 dm3
18,BAAV08208,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 820 dm3
18,BAAV08400,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 840 dm3
18,BAAV08640,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 864 dm3
18,BAAV08800,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 880 dm3
18,BAAV08840,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 884 dm3
18,BAAV08960,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 896 dm3
18,BAAV09375,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 937 dm3
18,BAAV11500,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 1.150 dm3
18,BAAV12000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 1.200 dm3
18,BAAV12750,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 1.275 dm3
18,BAAV16500,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 1.650 dm3
18,BAAV26250,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 2.625 dm3
18,BAAV27000,Camara AT Albañilería - Ladrillos Vereda Hormigón o Tierra de 2.700 dm3
18,BAGC00768,Camara AT Hormigón Calzada Hormigón de 76 dm3
18,BAGC01020,Camara AT Hormigón Calzada Hormigón de 102 dm3
18,BAGC18750,Camara AT Hormigón Calzada Hormigón de 1.875 dm3
18,BAGC30000,Camara AT Hormigón Calzada Hormigón de 3.000 dm3
18,BAGC50000,Camara AT Hormigón Calzada Hormigón de 5.000 dm3
18,BAGD00288,Camara AT Hormigón Calzada Tierra de 28 dm3
18,BAGD01020,Camara AT Hormigón Calzada Tierra de 102 dm3
18,BAGJ00800,Camara AT Hormigón Jardines o áreas verdes de 80 dm3
18,BAGJ01000,Camara AT Hormigón Jardines o áreas verdes de 100 dm3
18,BAGV00288,Camara AT Hormigón Vereda Hormigón o Tierra de 28 dm3
18,BAGV00374,Camara AT Hormigón Vereda Hormigón o Tierra de 37 dm3
18,BAGV00504,Camara AT Hormigón Vereda Hormigón o Tierra de 50 dm3
18,BAGV01000,Camara AT Hormigón Vereda Hormigón o Tierra de 100 dm3
18,BAGV01020,Camara AT Hormigón Vereda Hormigón o Tierra de 102 dm3
18,BAGV02000,Camara AT Hormigón Vereda Hormigón o Tierra de 200 dm3
18,BAGV02700,Camara AT Hormigón Vereda Hormigón o Tierra de 270 dm3
18,BAGV02744,Camara AT Hormigón Vereda Hormigón o Tierra de 274 dm3
18,BAGV04394,Camara AT Hormigón Vereda Hormigón o Tierra de 439 dm3
18,BAGV04800,Camara AT Hormigón Vereda Hormigón o Tierra de 480 dm3
18,BAGV07200,Camara AT Hormigón Vereda Hormigón o Tierra de 720 dm3
18,BAGV18750,Camara AT Hormigón Vereda Hormigón o Tierra de 1.875 dm3
18,BAGV30000,Camara AT Hormigón Vereda Hormigón o Tierra de 3.000 dm3
18,BAGV45000,Camara AT Hormigón Vereda Hormigón o Tierra de 4.500 dm3
18,BAGV50000,Camara AT Hormigón Vereda Hormigón o Tierra de 5.000 dm3
18,BAGV61250,Camara AT Hormigón Vereda Hormigón o Tierra de 6.125 dm3
